Airport,Lat,Lng
MDW,41.7883443,-87.7418484
FCO,41.7949229,12.2556526
BDL,41.928687,-72.683873
ORD,41.979444,-87.904444
BEY,42.2083428,-83.3571754
DTW,42.2083428,-83.3571754
BOS,42.369543,-71.020061
SOF,42.6885074,23.4021098
GRR,42.8846934,-85.5294877
BUF,42.933922,-78.730752
MKE,42.947639,-87.90295
SYR,43.111111,-76.106111
BIO,43.305193,-2.906409
ALA,43.346653,77.01145
CHC,-43.4851317,172.5477318
FSD,43.595239,-96.737322
TLS,43.631447,1.3592439
YTO,43.6318018,-79.3972944
PWM,43.646111,-70.308611
HBW,43.6552126,-90.3300401
NCE,43.659551,7.205915
YYZ,43.681727,-79.612049
ROC,43.907222,-92.498889
BST,44.410337,-69.0110598
BLQ,44.5298816,11.2932992
BUD,44.537276,129.588509
OTP,44.570833,26.085
CWA,44.7840503,-89.6724508
BEG,44.819167,20.306944
BOD,44.830324,-0.701253
MSP,44.881234,-93.203111
YHZ,44.885059,-63.514854
TRN,45.1917579,7.6427232
YOW,45.3178437,-75.6658854
YSJ,45.32948,-65.8902
VRN,45.4000011,10.8901406
YMQ,45.45764,-73.749697
YUL,45.45764,-73.749697
LIN,45.461041,9.279649
VCE,45.5047119,12.3357284
PDX,45.5892374,-122.5938886
MXP,45.630758,8.712932
ZAG,45.731766,16.059641
CFE,45.7900531,3.1598246
GVA,46.229334,6.106585
LJU,46.23102,14.454972
YYG,46.288619,-63.125675
KLU,46.6499635,14.324326
CDF,46.75,12.341667
BRN,46.912222,7.499167
FAR,46.92,-96.815556
GRZ,46.995475,15.4442219
HOH,47.383333,9.7
SEA,47.44443,-122.300497
ZRH,47.4504,8.5619
BSL,47.5987343,7.5291179
MLH,47.5987343,7.5291179
YYT,47.6177224,-52.7342959
VIE,48.1217811,16.5633169
LNZ,48.235278,14.188056
YQT,48.371944,-89.323889
ORY,48.7304595,2.3694074
CDC,49.004,2.5711
CDD,49.004,2.5711
CDG,49.004,2.5711
YVR,49.1959446,-123.1775716
LUX,49.6337,6.21637
YWG,49.9056258,-97.2244173
HHN,49.94665,7.269234
YLW,49.9515813,-119.3810046
PHC,5.014444,6.950278
ABJ,5.254879,-3.933015
PEN,5.2924701,100.2661529
PBM,5.4535148,-55.198102
ACC,5.60439,-0.17206
FRA,50.0377594,8.5591527
PRG,50.0994581,14.286543
KBP,50.338222,30.8939274
YQR,50.4333487,-104.6556267
MPL,50.4709,19.0655
LIL,50.57165,3.105968
LYS,50.6259952,2.6489471
CGN,50.8782914,7.1223998
BRU,50.89717,4.483602
MST,50.9123516,5.7659911
YYC,51.131471,-114.010556
ANR,51.1879764,4.4518558
DUS,51.2784591,6.768192
BRS,51.3825,-2.718889
EIN,51.4468987,5.3887114
LHR,51.47238,-0.45094
LON,51.502922,0.053314
FMO,52.1308182,7.6946491
WAW,52.1720072,20.9717475
YXE,52.173059,-106.702219
AMS,52.3130255,4.7724769
HAJ,52.458969,9.694477
TXL,52.5553342,13.2899059
SNN,52.693305,-8.920072
BRE,53.0475,8.786667
YEG,53.308035,-113.583768
MAN,53.362564,-2.2733545
HAM,53.6338416,10.0058168
YXS,53.887877,-122.67238
TUL,54.2366667,37.6066667
BFS,54.6616633,-6.216598
CPH,55.629563,12.639255
BLL,55.740278,9.151667
GLA,55.8646533,-4.4320898
EDI,55.94825,-3.364112
SVO,55.9640792,37.4173344
YMM,56.6563645,-111.2238631
YMX,56.6563645,-111.2238631
RIX,56.922208,23.979431
GOT,57.668799,12.292314
SVG,58.8863674,5.6222406
ARN,59.6519782,17.9334597
LED,59.8058404,30.3080141
CGK,-6.123611,106.661111
JKT,-6.123611,106.661111
LFW,6.165833,1.254167
COO,6.356111,2.383333
LOS,6.574722,3.318611
DAR,-6.873533,39.20211
HEL,60.3177685,24.9290085
ANC,61.173915,-149.981017
AES,62.560598,6.113761
NUL,64.729167,-158.074167
BOO,67.2728237,14.3628587
ROR,7.367359,134.538795
FNA,8.6175,-13.196944
DPS,-8.7442358,115.1674891
LAD,-8.847951,13.234862
ADD,8.976944,38.8
ABV,9.0044941,7.2704926
PTY,9.0669766,-79.3870681
CKY,9.575655,-13.62017
SJO,9.998238,-84.20408
ABZ,45.4530017,-98.4183339
AJA,41.922601,8.785483
BHX,52.4523821,-1.7435071
BNA,36.125816,-86.6657354
ENS,52.2742457,6.8768938
FLR,43.802195,11.2010962
MMX,55.602778,13.066667
MUC,48.357771,11.7903221
NUE,49.4943,11.07637
OSL,60.1937667,11.0992813
QWZ,51.457579,5.391347
RTM,51.957743,4.440935
SWK,45.461041,9.279649
SXB,48.544652,7.6272986
UIO,-0.1133333,-78.3586111
VCP,-23.009892,-47.141674
VLC,39.4916425,-0.4734011
XMN,24.5335543,118.1258517
YQB,46.7513889,-71.3941667
YXX,49.0259375,-122.3795172
